Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Type of Orbit;Longitude of GEO (degrees);Perigee (km);Apogee (km);Eccentricity;Inclination (degrees);Period (minutes);Launch Mass (kg.);Dry Mass (kg.);Power (watts);Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Site;Launch Vehicle;COSPAR Number;NORAD Number
1HOPSAT-TD;NR;USA;Hera Systems;Commercial;Earth Observation;Infrared Imaging;LEO;Non-Polar Inclined;0.0;566.0;576.0;0.00151;36.9;96.08;22.0;;;0.5;Hera Systems;USA;Satish Dhawan Space Centre;PSLV;2019-089H;44859
AAC AIS-Sat1 (Kelpie 1);United Kingdom;United Kingdom;AAC Clyde Space;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;637.0;654.0;0.00151;98.0;95.0;4.0;4;;;AAC Clyde Space;Sweden/UK/USA/Netherlands;Cape Canaveral;Falcon 9;2023-001DC;55107
Aalto-1;Finland;Finland;Aalto University;Civil;Technology Development;;LEO;Sun-Synchronous;0.0;497.0;517.0;0.00145;97.45;94.7;4.5;;4.5;2.0;Aalto University;Finland;Satish Dhawan Space Centre;PSLV;2017-036L;42775
AAt-4;Denmark;Denmark;University of Aalborg;Civil;Earth Observation;Automatic Identification System (AIS);LEO;Sun-Synchronous;0.0;442.0;687.0;0.00151;98.2;95.9;1.0;;;;University of Aalborg;Denmark;Guiana Space Center;Soyuz-2.1a;2016-025E;41460
ABS-2;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;;75.0;35778.0;35793.0;0.00017791272787655228;0.08;1436.03;6330.0;;16000;15.0;Space Systems/Loral;USA;Guiana Space Center;Ariane 5 ECA;2014-006A;39508
ABS-2A;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;;-75.0;35700.0;35700.0;0.0;0.0;1436.1;1800.0;;;15.0;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9;2016-038A;41588
ABS-3A;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;;-3.0;35788.0;35803.0;0.00017787053396734297;0.1;1436.0;2000.0;;;15.0;Boeing Satellite Systems;USA;Cape Canaveral;Falcon 9;2015-010A;40424
ABS-4;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;;75.0;35780.0;35793.0;0.00015418737324018834;0.01;1436.1;4143.0;1700;7400;12.0;Space Systems/Loral;USA;Cape Canaveral;Atlas 3;2004-007A;28184
ABS-6;NR;Multinational;Asia Broadcast Satellite Ltd.;Commercial;Communications;;GEO;;159.0;35777.0;35794.0;0.00020163442492675927;0.01;1436.08;2894.0;1730;6,800 (EOL);15.0;Lockheed Martin;USA;Baikonur Cosmodrome;Proton;1999-053A;25924
Adelis-Sampson 1;NR;Israel;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Government;Technology Development;;LEO;Sun-Synchronous;0.0;538.0;561.0;0.0016619697955054557;97.5;95.5;9.0;;;;Asher Space Research Institute at Technion/Israeli Aircraft Industries;Israel;Baikonur Cosmodrome;Soyuz-2.1a;2021-022F;47937
